question5 = "Please describe what are users' rights related to the data items found in your response to question2"	20 clusters
GPT:  Right to data portability for personal data in a structured, commonly used format.
GPT:  Right to withdraw consent at any time regarding the processing of personal data.
GPT:  Right to request access to personal data.
GPT:  Right to request correction of personal data.
GPT:  Right to request erasure of personal data.
GPT:  Right to object to processing of personal data.
GPT:  Right to request restriction of processing personal data.
GPT:  Right to request transfer of personal data.
GPT:  Right to withdraw consent for personal data processing.
GPT:  End Users have the right to access Personal Data being collected.
GPT:  End Users have the right to request correction of their Personal Data.
GPT:  Users have the right to access and update their name and contact details.
GPT:  Right to access personal information
GPT:  Right to delete personal information
GPT:  Users have the right to access, correct, or delete their contact information.
GPT:  Users have the right to request access to, correction, erasure of, or transfer of their personal information
GPT:  Users have the right to object to or restrict the processing of their personal data
GPT:  Users have the right to access and update their First and last name 
GPT:  Right to restrict or object to the processing of personal data.
GPT:  Right to port personal information to another entity.
GPT:  Right to withdraw consent for data processing.
GPT:  Right to request deletion of personal information or changes to personal information.
GPT:  Right to withdraw consent and request deletion of personal information.
GPT:  Right to request deletion of personal information via designated channels.
GPT:  Right to Know: You can request what personal information is collected.
GPT:  Right to Deletion: You can request deletion of your personal information.
GPT:  Right to Correct: You can request correction of inaccurate personal information.
GPT:  Right to request access to personal data held
GPT:  Right to request rectification of inaccurate or incomplete personal data
GPT:  Right to obtain restriction of processing under certain conditions
GPT:  Right to access and update personal information
GPT:  Users have the right to access and update their name.
GPT:  Right to access and obtain a copy of personal data on request.
GPT:  Right to rectification of inaccurate personal data.
GPT:  Right to access Personal Data and request a copy.
GPT:  Right to request correction of inaccurate Personal Data.
GPT:  Right to request deletion or restriction of processing of Personal Data.
GPT:  Right to object to processing of Personal Data.
GPT:  Right to withdraw consent for processing Personal Data at any time.
GPT:  Users have the right to request access, correction, or deletion of their Personally Identifiable Information.
GPT:  Right to access and obtain a copy of the Personal Data
GPT:  Right to request correction of inaccurate Personal Data
GPT:  Right to request erasure of Personal Data
GPT:  Right to withdraw consent at any time for processing where consent is the legal basis
GPT:  Users have the right to access their contact information.
GPT:  Users have the right to request access, review, correction, or deletion of their personal data.
GPT:  Users have the right to access their contact information and request corrections or deletions
GPT:  Right to access personal information: Users have the right to request access to their personal information and correct inaccuracies.
GPT:  Right to access personal data - user right
GPT:  Right to correct personal data - user right
GPT:  Right to erasure of personal data - user right
GPT:  Right to restrict processing of personal data - user right
GPT:  Right to data portability - user right
GPT:  Right to withdraw consent at any time - user right
GPT:  Right to update, correct, or delete personal information.
GPT:  Right to portability of personal data.
GPT:  Right to rectification of inaccurate information.
GPT:  Right to erasure (deletion) of personal information.
GPT:  Right to access Personal Information collected.
GPT:  Right to request deletion of Personal Information.
GPT:  Right to correct inaccurate Personal Information.
GPT:  Right to access and/or receive a copy of certain personal information held.
GPT:  Right to correct or update personal information.
GPT:  Right to delete certain personal information.
GPT:  Users have the right to request access to or deletion of personal information held about them.
GPT:  Users have the right to correct or update personal information held about them.
GPT:  Right to access and receive a copy of personal data
GPT:  Right to have personal data deleted
GPT:  Right to demand restriction of processing
GPT:  Right to correct or update personal information
GPT:  Right to withdraw consent at any moment
GPT:  Right to access personal information
GPT:  Right to rectify inaccurate personal information
GPT:  Right to object to processing of personal data
GPT:  Right to erasure of personal data
GPT:  Right to restrict processing of personal data
GPT:  Right to data portability
GPT:  Right to withdraw consent for data processing
GPT:  Right to access and obtain a copy of Personal Data
GPT:  Right to rectification of inaccurate Personal Data
GPT:  Right to erasure of Personal Data
GPT:  Right to restrict processing of Personal Data
GPT:  Right to object to processing of Personal Data
GPT:  Right to data portability of Personal Data
GPT:  Users have the right to request access to their contact and account registration information.
CAGPT:  Right to request to know more details about the categories or specific pieces of Personal Information collected
CAGPT:  Right to request the deletion of Personal Information
CAGPT:  Users have the right to request access to the categories and specific pieces of personal information collected.
CAGPT:  Users have the right to request deletion of their personal information.
CAGPT:  Users have the right to request correction of their collected personal information.
CAGPT:  Users have the right to data portability, receiving their personal information in a usable format.
CAGPT:  Request disclosure of categories and specific pieces of Personal Information collected
CAGPT:  Request deletion of Personal Information
CAGPT:  User right to request disclosure of personal information collected, sold, shared, or disclosed for a business purpose
CAGPT:  Item 1 user right: Right to Know/Access Personal Information Collected, Disclosed, or Sold
CAGPT:  Item 2 user right: Right to Know/Access Personal Information Collected, Disclosed, or Sold
CAGPT:  Item 3 user right: Right to Know/Access Personal Information Collected, Disclosed, or Sold
CAGPT:  Item 4 user right: Right to Know/Access Personal Information Collected, Disclosed, or Sold
CAGPT:  Item 5 user right: Right to Know/Access Personal Information Collected, Disclosed, or Sold
CAGPT:  Item 6 user right: Right to Know/Access Personal Information Collected, Disclosed, or Sold
CAGPT:  Item 7 user right: Right to Know/Access Personal Information Collected, Disclosed, or Sold
CAGPT:  Item 8 user right: Right to Know/Access Personal Information Collected, Disclosed, or Sold
CAGPT:  Item 9 user right: Right to Know/Access Personal Information Collected, Disclosed, or Sold
CAGPT:  Right to access personal information
CAGPT:  Right to delete personal information
CAGPT:  Right to correct inaccurate personal information
CAGPT:  The right to correct inaccurate personal information that is maintained about you.
CAGPT:  Right to know what personal information is being collected
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to correct inaccurate personal information
CAGPT:  Right to know the sources from which personal information is collected
CAGPT:  Right to know the specific pieces of personal information collected
CAGPT:  Right to request disclosure of the categories of personal information collected
CAGPT:  Right to request disclosure of the categories of sources for the personal information collected
CAGPT:  Right to request specific pieces of personal information collected
CAGPT:  Right to request deletion of personal information
CAGPT:  The right to request disclosure of categories and specific pieces of personal information collected
CAGPT:  The right to request deletion of personal information
CAGPT:  Item 3 user right: Right to request deletion of personal information.
CAGPT:  Right to Delete 
CAGPT:  Right to request disclosure of information collected.
CAGPT:  Right to request deletion of personal information.
CAGPT:  Right to data portability.
CAGPT:  Right to Delete
CAGPT:  Right to request disclosure of commercial information
CAGPT:  Right to know what identifiers we have collected
CAGPT:  Right to delete sensitive personal information
CAGPT:  Right to request disclosure of categories and specific pieces of personal data collected
CAGPT:  Right to request deletion of personal data
CAGPT:  Commercial information user right to access specific information and data portability
CAGPT:  Right to know about personal information collected, disclosed, or sold
CAGPT:  Right to correct inaccurate personal information
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to access personal information in a portable format
CAGPT:  Right to request disclosure of the categories and specific pieces of personal information collected, the purpose for collecting, and categories of third parties with whom it was shared
CAGPT:  Right to request deletion of certain personal information
CAGPT:  Right to request disclosure of certain information
CAGPT:  Right to request deletion of Personal Information
CAGPT:  Right to know about the collection, use, and sharing of identifiers
CAGPT:  Right to correct inaccurate personal and employment-related information
CAGPT:  Right to request disclosure of categories and specific pieces of personal data collected
CAGPT:  Right to request deletion of personal data
CAGPT:  User has the right to request access to their personal information
CAGPT:  User has the right to request deletion of their personal information
CAGPT:  Item 2 user right: Right to request deletion of personal information
CAGPT:  Right to Know about Personal Information collected, disclosed or sold
CAGPT:  Right to Request Deletion of Personal Information 
CAGPT:  Right to Delete
CAGPT:  Right to know the personal information collected about you
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to correct inaccurate personal information
CAGPT:  Right to request disclosure of personal information collected, used, disclosed, and sold
CAGPT:  Right to request correction of personal information
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to data portability
CAGPT:  The right to request access to the categories and specific pieces of personal information collected
CAGPT:  The right to request the deletion of personal information
CAGPT:  The right to correct inaccurate personal information
CAGPT:  Item 4 user right: The right to request deletion of personal information.
CAGPT:  Right to request access to specific information
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to request disclosure of information collected
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to Make a Deletion Request
CAGPT:  Right to Correct Inaccurate Personal Information
CAGPT:  Right to know about Personal Information collected, â€œsoldâ€ or shared.
CAGPT:  Right to request deletion of Personal Information.
CAGPT:  Right to update inaccurate Personal Information.
CAGPT:  Right to request disclosure of the categories and specific pieces of personal information collected about them in the past 12 months
CAGPT:  Right to request deletion of personal information subject to certain exceptions
CAGPT:  Right to request disclosure of categories of personal and sensitive information collected, sources, purposes for collecting, using, and disclosing that information, categories of third parties with whom disclosed, specific pieces of personal information collected, and retention period.
CAGPT:  Right to access the Personal Information collected, disclosed, or sold
CAGPT:  Right to request deletion of Personal Information
CAGPT:  Right to correct inaccurate Personal Information
CAGPT:  Users have the right to access their personal information.
CAGPT:  Users have the right to request deletion of their personal information.
CAGPT:  Right to know & data portability
CAGPT:  Right to delete
CAGPT:  Right to know about personal information collected, disclosed, or sold.
CAGPT:  Right to request deletion of personal information.
CAGPT:  Commercial information user right to access specific information and portability
CAGPT:  Right to request categories of personal information collected
CAGPT:  Right to request correction of inaccurate personal information
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to know the collected personal data
CAGPT:  Right to correct or update inaccurate personal data
CAGPT:  Right to request deletion of personal data
CAGPT:  Right to access and data portability
CAGPT:  Right to know what personal information is being collected
CAGPT:  Right to request deletion of personal information collected
CAGPT:  Right to know about personal information collected, disclosed, or sold
CAGPT:  Right to request deletion of personal information
CAGPT:  Access to Specific Information and Data Portability Rights
CAGPT:  Right to Access personal information collected about you.
CAGPT:  Right to Delete any personal information about you that you have provided.
CAGPT:  Right to Correct inaccuracies in your personal data.
CAGPT:  The right to delete
CAGPT:  Right to know the categories and specific pieces of Personal Information collected
CAGPT:  Right to request deletion of Personal Information
CAGPT:  Right to request correction of inaccurate Personal Information
CAGPT:  Right to Know: The categories and specific pieces of personal information collected
CAGPT:  Right to Deletion: Request deletion of personal information collected from you
CAGPT:  Right to Correct: Correct inaccurate personal information
CAGPT:  Right to request deletion of personal information (Right to Delete).
CAGPT:  Right to request disclosure of certain information regarding our collection and use of personal information within the past 12 months
CAGPT:  Right to request correction of inaccurate personal information
CAGPT:  Right to access and amend personal information 
CAGPT:  Right to request information on how data is collected, used, and shared
CAGPT:  Right to know about personal information collected, disclosed, or sold
CAGPT:  Right to request deletion of personal information
CAGPT:  Identifiers user right to know the categories and specific pieces of Personal Information collected
CAGPT:  The right to correct inaccurate personal information; user right
CAGPT:  The right to request deletion of personal information; user right
CAGPT:  The right to delete personal information collected about them
CAGPT:  The right to correct inaccurate personal information
CAGPT:  Right to request disclosure of data collection and use
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to data portability
CAGPT:  Right to delete
CAGPT:  Right to request access to and portability of personal information
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to request correction of inaccurate personal or sensitive personal information
CAGPT:  Access - right to request what personal information is collected
CAGPT:  Correction - right to request correction of personal information
CAGPT:  Deletion - right to request deletion of personal information
CAGPT:  Right to know, request deletion, and data portability.
CAGPT:  Right to know, request deletion, and data portability.
CAGPT:  Right to know, request deletion, and data portability.
CAGPT:  Right to know, request deletion, and data portability.
CAGPT:  Right to know, request deletion, and data portability.
CAGPT:  Right to know, request deletion, and data portability.
CAGPT:  Right to know, request deletion, and data portability.
CAGPT:  Right to know, request deletion, and data portability.
CAGPT:  Right to know, request deletion, and data portability.
CAGPT:  Right to know, request deletion, and data portability.
CAGPT:  Right to know and access Personal Information
CAGPT:  Right to delete Personal Information
CAGPT:  Right to correct inaccurate Personal Information
CAGPT:  Right to know what Personal Information has been collected
CAGPT:  Right to delete Personal Information
CAGPT:  Right to correct inaccurate information
CAGPT:  Right to request disclosure of categories and specific pieces of personal data collected
CAGPT:  Right to request deletion of personal data
CAGPT:  Right to know about personal information collected, used, disclosed, and sold.
CAGPT:  Right to delete personal information collected by the business.
CAGPT:  Right to request correction of inaccurate personal information.
CAGPT:  Right to request disclosure of personal information collected
CAGPT:  Right to request deletion of personal information
CAGPT: . Right to request correction of inaccurate personal information
CAGPT:  Right to request to know what personal information is collected
CAGPT:  Right to request access to specific pieces of personal information collected
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to request correction of inaccurate personal information
CAGPT:  Right to know about the identifiers collected
CAGPT:  Right to access, correct, and delete personal information
CAGPT:  Access to Specific Information and Data Portability Rights
CAGPT:  Right to Request Correction of Inaccurate Personal or Sensitive Personal Information
CAGPT:  Right to Know what personal information is collected, including the right to access specific pieces of information.
CAGPT:  Right to know about Identifiers collected
CAGPT:  Right to access specific information and data portability
CAGPT:  Right to request deletion of their personal information
CAGPT:  Right to delete personal information under certain circumstances
CAGPT:  Right to correct inaccurate PI
CAGPT:  Right to know about personal information collected, used, disclosed, or sold.
CAGPT:  Right to request deletion of personal information.
CAGPT:  Right to request correction of inaccurate personal information.
CAGPT:  Right to know about Identifiers collected, disclosed, shared, or sold
CAGPT:  Right to request deletion of Personal Information
CAGPT:  Right to know about Personal Information collected, disclosed, or sold
CAGPT:  Right of deletion
CAGPT:  The right to correct inaccurate personal information user right
CAGPT:  The right to request that we delete the personal information user right
CAGPT:  Right to request the deletion of personal information.
CAGPT:  Right to request disclosure of the personal information collected, used, disclosed, and sold about the user.
CAGPT:  Right to request disclosure of information collected
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to request disclosure of information collected
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to know about Personal Information collected, used, disclosed, shared, or sold
CAGPT:  Right to request deletion of their personal information
CAGPT:  Right to correct inaccurate Personal Information
CAGPT:  Right to Delete
CAGPT:  Right to request information about the collection of their data
CAGPT:  Right to request deletion of their data
CAGPT:  Item 1 user right: The Right to Know Your Personal Data
CAGPT: . Item 3 user right: The Right to Delete Your Personal Data
CAGPT:  Right to know and access personal data.
CAGPT:  Right to correct inaccurate or incomplete personal data.
CAGPT:  Right to delete personal data in certain circumstances.
CAGPT:  Users have the right to access their personal information
CAGPT:  Users have the right to request deletion of their personal information
CAGPT:  Users have the right to correct inaccurate personal information
CAGPT:  Right to Correct for inaccurate "Professional or Employment Related Information"
CAGPT:  Right to Delete
CAGPT:  Right to request information about personal information collected
CAGPT:  Right to request deletion of personal information
CAGPT:  Right to update or correct personal information
CAGPT:  Right to Data Portability
CAGPT:  Right to Deletion
CAGPT:  Right to Correct Inaccuracies
CAGPT:  Right to Request Deletion of Personal Information.
CAGPT:  Right To Correct Inaccurate Personal Information.
CAGPT:  Users have the right to request deletion of their personal information
CAGPT:  The right to request disclosure of categories and specific pieces of personal information collected.
CAGPT:  The right to request deletion of personal information.
CAGPT:  Users have the right to know about the collection, use, and sharing of identifiers.
CAGPT:  Right to request disclosure of data collected.
CAGPT:  Right to request deletion of personal data.
CAGPT:  Right to data portability.
CAGPT:  Right to correct inaccurate personal information.
CAGPT:  Right to know what personal information has been collected
CAGPT:  Right to delete personal information
CAGPT:  Right to correct inaccurate information
CAGPT:  Right to data portability
CAGPT:  Users have the right to request the deletion of their personal information, subject to certain exceptions.
CAGPT:  Users have the right to correct inaccurate personal information maintained by the business.
CAGPT:  Right to request the disclosure of certain information regarding collection and use of personal information.
CAGPT:  Right to request deletion of personal information.
CAGPT:  Right to correct inaccurate personal information.
CAGPT:  Right to request disclosure of personal information collected, used, and disclosed
CAGPT:  Right to request deletion of personal information collected and retained
CAGPT:  Right to correct inaccurate commercial information
CAGPT:  Right to Access personal data collected
CAGPT:  Right to Delete personal data provided
CAGPT:  Right to Correct inaccuracies in personal data
CAGPT:  Right to know how we have collected, used, and disclosed your personal information
CAGPT:  Right to make a deletion request for your personal information that we have collected or received
CAGPT:  Right to correct inaccurate personal information about you
CAGPT:  The right to access your Personal Information
CAGPT:  The right to information about the Personal Information we have collected
CAGPT:  The right to delete your Personal Information
CAGPT:  The right to correct your Personal Information
CAGPT:  Right to know and access personal information being collected
CAGPT:  Right to correct inaccurate personal information
CAGPT: . Right to delete personal information
CAGPT:  Right to know what personal information is collected & access personal information
CAGPT:  Right to delete personal information
CAGPT:  Right to correct inaccurate personal information
CAGPT:  Right to Delete
CAGPT:  Users have the right to request the deletion of their Contact Information.
CAGPT:  Users have the right to request the deletion of Personal Information We Derive.
CAGPT:  You have the right to correct inaccurate personal information maintained about you.
CAGPT:  Right to request deletion of PI under CCPA.
CAGPT:  Users have the right to request correction of their personal information
CAGPT:  Users have the right to request deletion of their personal information
CAGPT:  Right to Correct: Users have the right to correct inaccurate Personal Information maintained about them
CAGPT:  Right to know about personal information collected
CAGPT:  Right to delete personal information
CAGPT:  Right to correct inaccurate personal information
CAGPT:  Item 1 user right: Right to know what personal information is collected
CAGPT:  Item 2 user right: Right to delete personal information
CAGPT:  Right to Know and Access Personal Information  
CAGPT:  Right to Correct Inaccurate Personal Information  
CAGPT:  Right to Delete Personal Information  
CAGPT:  Right to know, access, and delete personal information.
CAGPT:  Right to correct inaccurate personal information.
---------------------------
Cluster 2
GPT:  Right to lodge a complaint with a supervisory authority.
GPT:  Right to complain to supervisory authority.
GPT:  You have the right to lodge complaints with your data protection authority.
GPT:  Right to lodge a complaint with the supervisory authority
GPT:  Right to complain to a supervisory authority regarding data handling.
GPT:  Right to file a complaint with a supervisory authority.
GPT:  Right to lodge a complaint with a supervisory authority.
---------------------------
Cluster 3
GPT:  Users have the right to opt-out of the sale of their personal information. 
GPT:  Right to opt out of the sale of personal data (California consumers)
GPT:  Right to opt out of the sharing of personal information to a third party.
GPT:  Right to opt-out of the sale of personal data
GPT:  Right to opt out of sales of personal information
GPT:  Right to opt-out of the use of their Personal Information for targeted advertising.
GPT:  Users have the right to opt out of the sale of their personal information.
GPT:  Right to opt-out of certain uses of their Personal Information
GPT:  Right to opt-out/do not sell/do not share personal information
GPT:  Users have the right to opt-out of the sale of their personal information.
GPT:  Right to opt-out of personal information processing for targeted advertising and sales.
GPT:  Right to opt out of sharing personal information for online targeted advertising user right
GPT:  Right to Opt-Out: You can request to opt-out of the sale or sharing of personal information.
GPT:  Opt-out of the sale of personal information user right
GPT:  Right to opt out of the sale or sharing of Personal Information.
GPT:  Users have the right to opt-out of the sale of their personal information.
CAGPT:  Users have the right to opt-out of the sale of their personal information.
CAGPT:  User right to opt-out of the sale or sharing of personal information
CAGPT:  Right to opt-out of the sale of personal information
CAGPT:  The right to opt-out/opt-in of the sale of personal information
CAGPT:  Item 1 user right: Right to opt-out of the sale of personal information.
CAGPT:  Right to Opt Out of the Sale of Your Personal Information
CAGPT:  Right to opt-out of the sale of personal information.
CAGPT:  Right to opt out of the sale or sharing of commercial information
CAGPT:  Right to opt-out of the sale of personal data
CAGPT:  Right to opt-out of third-party sharing
CAGPT:  Right to opt out of the sale or sharing of commercial information
CAGPT:  Right to opt-out of the sale of personal data
CAGPT:  Item 3 user right: Right to opt out of the sale of personal information
CAGPT:  Right to Opt-Out of the Sale of Personal Information
CAGPT:  Right to opt-out of the sale or sharing of personal information
CAGPT:  Right to opt-out of the sale of personal information
CAGPT:  Right to opt-out of sharing personal information for cross-context behavioral advertising
CAGPT:  Right to Opt-Out of Share and Sale of Applicant Personal Information
